MDLZ,Mondelez International,Consumer Staples
MNST,Monster Beverage,Consumer Staples
PEP,PepsiCo Inc.,Consumer Staples
PM,Philip Morris International,Consumer Staples
PG,Procter & Gamble,Consumer Staples
SYY,Sysco Corp.,Consumer Staples
CLX,The Clorox Company,Consumer Staples
HSY,The Hershey Company,Consumer Staples
TSN,Tyson Foods,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WMT,Walmart,Consumer Staples
APA,Apache Corporation,Energy
BKR,Baker Hughes Co,Energy
COG,Cabot Oil & Gas,Energy
CVX,Chevron Corp.,Energy
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
DVN,Devon Energy,Energy
FANG,Diamondback Energy,Energy
EOG,EOG Resources,Energy
XOM,Exxon Mobil Corp.,Energy
HAL,Halliburton Co.,Energy
HES,Hess Corporation,Energy
HFC,HollyFrontier Corp,Energy
KMI,Kinder Morgan,Energy
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
NOV,National Oilwell Varco Inc.,Energy
NBL,Noble Energy,Energy
OXY,Occidental Petroleum,Energy
OKE,ONEOK,Energy
PSX,Phillips 66,Energy
PXD,Pioneer Natural Resources,Energy
SLB,Schlumberger Ltd.,Energy
FTI,TechnipFMC,Energy
VLO,Valero Energy,Energy
WMB,Williams Companies,Energy
AFL,AFLAC Inc,Financials
ALL,Allstate Corp,Financials
AXP,American Express Co,Financials
AIG,American International Group,Financials
AMP,Ameriprise Financial,Financials
AON,Aon plc,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
BAC,Bank of America Corp,Financials
BRK.B,Berkshire Hathaway,Financials
BLK,BlackRock,Financials
COF,Capital One Financial,Financials
CBOE,Cboe Global Markets,Financials
SCHW,Charles Schwab Corporation,Financials
CB,Chubb Limited,Financials
CINF,Cincinnati Financial,Financials
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CME,CME Group Inc.,Financials
CMA,Comerica Inc.,Financials
DFS,Discover Financial Services,Financials
ETFC,E*Trade,Financials
RE,Everest Re Group Ltd.,Financials
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
BEN,Franklin Resources,Financials
GL,Globe Life Inc.,Financials
GS,Goldman Sachs Group,Financials
HIG,Hartford Financial Svc.Gp.,Financials
HBAN,Huntington Bancshares,Financials
ICE,Intercontinental Exchange,Financials
IVZ,Invesco Ltd.,Financials
JPM,JPMorgan Chase & Co.,Financials
KEY,KeyCorp,Financials
LNC,Lincoln National,Financials
L,Loews Corp.,Financials
MTB,M&T Bank Corp.,Financials
MKTX,MarketAxess,Financials
MMC,Marsh & McLennan,Financials
MET,MetLife Inc.,Financials
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSCI,MSCI Inc,Financials
NDAQ,Nasdaq Inc.,Financials
NTRS,Northern Trust Corp.,Financials
PBCT,People's United Financial,Financials
PNC,PNC Financial Services,Financials
PFG,Principal Financial Group,Financials
PGR,Progressive Corp.,Financials
PRU,Prudential Financial,Financials
RJF,Raymond James Financial Inc.,Financials
RF,Regions Financial Corp.,Financials
SPGI,S&P Global Inc.,Financials
STT,State Street Corp.,Financials
SIVB,SVB Financial,Financials
SYF,Synchrony Financial,Financials
TROW,T. Rowe Price Group,Financials
BK,The Bank of New York Mellon,Financials
TRV,The Travelers Companies Inc.,Financials
TFC,Truist Financial,Financials
USB,U.S. Bancorp,Financials
UNM,Unum Group,Financials
WRB,W. R. Berkley Corporation,Financials
WFC,Wells Fargo,Financials
WLTW,Willis Towers Watson,Financials
ZION,Zions Bancorp,Financials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie Inc.,Health Care
ABMD,ABIOMED Inc,Health Care
A,Agilent Technologies Inc,Health Care
ALXN,Alexion Pharmaceuticals,Health Care
ALGN,Align Technology,Health Care
ABC,AmerisourceBergen Corp,Health Care
AMGN,Amgen Inc.,Health Care
ANTM,Anthem,Health Care
BAX,Baxter International Inc.,Health Care
BDX,Becton Dickinson,Health Care
BIO,Bio-Rad Laboratories,Health Care
BIIB,Biogen Inc.,Health Care
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
CAH,Cardinal Health Inc.,Health Care
CNC,Centene Corporation,Health Care
CERN,Cerner,Health Care
CI,CIGNA Corp.,Health Care
CVS,CVS Health,Health Care
DHR,Danaher Corp.,Health Care
DVA,DaVita Inc.,Health Care
XRAY,Dentsply Sirona,Health Care
DXCM,DexCom,Health Care
EW,Edwards Lifesciences,Health Care
GILD,Gilead Sciences,Health Care
HCA,HCA Healthcare,Health Care
HSIC,Henry Schein,Health Care
HOLX,Hologic,Health Care
HUM,Humana Inc.,Health Care
IDXX,IDEXX Laboratories,Health Care
ILMN,Illumina Inc,Health Care
INCY,Incyte,Health Care
ISRG,Intuitive Surgical Inc.,Health Care
IQV,IQVIA Holdings Inc.,Health Care
JNJ,Johnson & Johnson,Health Care
LH,Laboratory Corp. of America Holding,Health Care
LLY,Lilly (Eli) & Co.,Health Care
MCK,McKesson Corp.,Health Care
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MTD,Mettler Toledo,Health Care
MYL,Mylan N.V.,Health Care
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer Inc.,Health Care
DGX,Quest Diagnostics,Health Care
REGN,Regeneron Pharmaceuticals,Health Care
RMD,ResMed,Health Care
STE,STERIS plc,Health Care
SYK,Stryker Corp.,Health Care
TFX,Teleflex,Health Care
COO,The Cooper Companies,Health Care
TMO,Thermo Fisher Scientific,Health Care
UNH,United Health Group Inc.,Health Care
UHS,Universal Health Services,Health Care
VAR,Varian Medical Systems,Health Care
VRTX,Vertex Pharmaceuticals Inc,Health Care
WAT,Waters Corporation,Health Care
WST,West Pharmaceutical Services,Health Care
ZBH,Zimmer Biomet Holdings,Health Care
ZTS,Zoetis,Health Care
MMM,3M Company,Industrials
AOS,A.O. Smith Corp,Industrials
ALK,Alaska Air Group Inc,Industrials
ALLE,Allegion,Industrials
AAL,American Airlines Group,Industrials
AME,AMETEK Inc.,Industrials
BA,Boeing Company,Industrials
CHRW,C. H. Robinson Worldwide,Industrials
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CTAS,Cintas Corporation,Industrials
CPRT,Copart Inc,Industrials
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
DE,Deere & Co.,Industrials
DAL,Delta Air Lines Inc.,Industrials
DOV,Dover Corporation,Industrials
ETN,Eaton Corporation,Industrials
EMR,Emerson Electric Company,Industrials
EFX,Equifax Inc.,Industrials
EXPD,Expeditors,Industrials
FAST,Fastenal Co,Industrials
FDX,FedEx Corporation,Industrials
FLS,Flowserve Corporation,Industrials
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GWW,Grainger (W.W.) Inc.,Industrials
HON,Honeywell Int'l Inc.,Industrials
HWM,Howmet Aerospace,Industrials
HII,Huntington Ingalls Industries,Industrials
IEX,IDEX Corporation,Industrials
INFO,IHS Markit Ltd.,Industrials
ITW,Illinois Tool Works,Industrials
IR,Ingersoll Rand,Industrials
JBHT,J. B. Hunt Transport Services,Industrials
J,Jacobs Engineering Group,Industrials
JCI,Johnson Controls International,Industrials
KSU,Kansas City Southern,Industrials
LHX,L3Harris Technologies,Industrials
LMT,Lockheed Martin Corp.,Industrials
MAS,Masco Corp.,Industrials
NLSN,Nielsen Holdings,Industrials
NSC,Norfolk Southern Corp.,Industrials
NOC,Northrop Grumman,Industrials
ODFL,Old Dominion Freight Line,Industrials
OTIS,Otis Worldwide,Industrials
PCAR,PACCAR Inc.,Industrials
PH,Parker-Hannifin,Industrials
PNR,Pentair plc,Industrials
PWR,Quanta Services Inc.,Industrials
RTX,Raytheon Technologies,Industrials
RSG,Republic Services Inc,Industrials
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
ROL,Rollins Inc.,Industrials
ROP,Roper Technologies,Industrials
SNA,Snap-on,Industrials
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
TDY,Teledyne Technologies,Industrials
TXT,Textron Inc.,Industrials
TT,Trane Technologies plc,Industrials
TDG,TransDigm Group,Industrials
UNP,Union Pacific Corp,Industrials
UAL,United Airlines Holdings,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals Inc.,Industrials
VRSK,Verisk Analytics,Industrials
WAB,Wabtec Corporation,Industrials
WM,Waste Management Inc.,Industrials
XYL,Xylem Inc.,Industrials
ACN,Accenture plc,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices Inc,Information Technology
AKAM,Akamai Technologies Inc,Information Technology
APH,Amphenol Corp,Information Technology
ADI,Analog Devices Inc.,Information Technology
ANSS,ANSYS,Information Technology
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
ANET,Arista Networks,Information Technology
ADSK,Autodesk Inc.,Information Technology
ADP,Automatic Data Processing,Information Technology
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions,Information Technology
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CSCO,Cisco Systems,Information Technology
CTXS,Citrix Systems,Information Technology
CTSH,Cognizant Technology Solutions,Information Technology
GLW,Corning Inc.,Information Technology
DXC,DXC Technology,Information Technology
FFIV,F5 Networks,Information Technology
FIS,Fidelity National Information Services,Information Technology
FISV,Fiserv Inc,Information Technology
FLT,FleetCor Technologies Inc,Information Technology
FLIR,FLIR Systems,Information Technology
FTNT,Fortinet,Information Technology
IT,Gartner Inc,Information Technology
GPN,Global Payments Inc.,Information Technology
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP Inc.,Information Technology
INTC,Intel Corp.,Information Technology
IBM,International Business Machines,Information Technology
INTU,Intuit Inc.,Information Technology
IPGP,IPG Photonics Corp.,Information Technology
JKHY,Jack Henry & Associates,Information Technology
JNPR,Juniper Networks,Information Technology
KEYS,Keysight Technologies,Information Technology
KLAC,KLA Corporation,Information Technology
LRCX,Lam Research,Information Technology
LDOS,Leidos Holdings,Information Technology
MA,Mastercard Inc.,Information Technology
MXIM,Maxim Integrated Products Inc,Information Technology
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MSI,Motorola Solutions Inc.,Information Technology
NTAP,NetApp,Information Technology
NLOK,NortonLifeLock,Information Technology
NVDA,Nvidia Corporation,Information Technology
ORCL,Oracle Corp.,Information Technology
PAYX,Paychex Inc.,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
CRM,Salesforce.com,Information Technology
STX,Seagate Technology,Information Technology
NOW,ServiceNow,Information Technology
SWKS,Skyworks Solutions,Information Technology
SNPS,Synopsys Inc.,Information Technology
TEL,TE Connectivity Ltd.,Information Technology
TXN,Texas Instruments,Information Technology
TYL,Tyler Technologies,Information Technology
VRSN,Verisign Inc.,Information Technology
V,Visa Inc.,Information Technology
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
XRX,Xerox,Information Technology
XLNX,Xilinx,Information Technology
ZBRA,Zebra Technologies,Information Technology
APD,Air Products & Chemicals Inc,Materials
ALB,Albemarle Corp,Materials
AMCR,Amcor plc,Materials
AVY,Avery Dennison Corp,Materials
BLL,Ball Corp,Materials
CE,Celanese,Materials
CF,CF Industries Holdings Inc,Materials
CTVA,Corteva,Materials
DOW,Dow Inc.,Materials
DD,DuPont de Nemours Inc,Materials
EMN,Eastman Chemical,Materials
ECL,Ecolab Inc.,Materials
FMC,FMC Corporation,Materials
FCX,Freeport-McMoRan Inc.,Materials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
LIN,Linde plc,Materials
LYB,LyondellBasell,Materials
MLM,Martin Marietta Materials,Materials
NEM,Newmont Corporation,Materials
NUE,Nucor Corp.,Materials
PKG,Packaging Corporation of America,Materials
PPG,PPG Industries,Materials
SEE,Sealed Air,Materials
SHW,Sherwin-Williams,Materials
MOS,The Mosaic Company,Materials
VMC,Vulcan Materials,Materials
WRK,WestRock,Materials
ARE,Alexandria Real Estate Equities,Real Estate
AMT,American Tower Corp.,Real Estate
AIV,Apartment Investment & Management,Real Estate
AVB,AvalonBay Communities,Real Estate
BXP,Boston Properties,Real Estate
CBRE,CBRE Group,Real Estate
CCI,Crown Castle International Corp.,Real Estate
DLR,Digital Realty Trust Inc,Real Estate
DRE,Duke Realty Corp,Real Estate
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust Inc.,Real Estate
EXR,Extra Space Storage,Real Estate
FRT,Federal Realty Investment Trust,Real Estate
PEAK,Healthpeak Properties,Real Estate
HST,Host Hotels & Resorts,Real Estate
IRM,Iron Mountain Incorporated,Real Estate
KIM,Kimco Realty,Real Estate
MAA,Mid-America Apartments,Real Estate
PLD,Prologis,Real Estate
PSA,Public Storage,Real Estate
O,Realty Income Corporation,Real Estate
REG,Regency Centers Corporation,Real Estate
SBAC,SBA Communications,Real Estate
SPG,Simon Property Group Inc,Real Estate
SLG,SL Green Realty,Real Estate
UDR,UDR Inc.,Real Estate
VTR,Ventas Inc,Real Estate
VNO,Vornado Realty Trust,Real Estate
WELL,Welltower Inc.,Real Estate
WY,Weyerhaeuser,Real Estate
Symbol,Name,Sector
AES,AES Corp,Utilities
LNT,Alliant Energy Corp,Utilities
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AWK,American Water Works Company Inc,Utilities
ATO,Atmos Energy,Utilities
CNP,CenterPoint Energy,Utilities
CMS,CMS Energy,Utilities
ED,Consolidated Edison,Utilities
D,Dominion Energy,Utilities
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
EIX,Edison Int'l,Utilities
ETR,Entergy Corp.,Utilities
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
FE,FirstEnergy Corp,Utilities
NEE,NextEra Energy,Utilities
NI,NiSource Inc.,Utilities
NRG,NRG Energy,Utilities
PNW,Pinnacle West Capital,Utilities
PPL,PPL Corp.,Utilities
PEG,Public Service Enterprise Group (PSEG),Utilities
SRE,Sempra Energy,Utilities
SO,Southern Company,Utilities
WEC,WEC Energy Group,Utilities
XEL,Xcel Energy Inc,Utilities
